version              n    time(s)  Normalized(ns)
ver3d_local \t   00350  0.0002   1.7551 
ver3d_local \t   00350  0.0002   1.7224 
ver3d_local \t   00350  0.0002   1.6898 
ver3d_local \t   00350  0.0002   1.7551 
ver3d_local \t   00350  0.0003   2.8408 
ver3d_local \t   00350  0.0002   1.8694 
ver3d_local \t   00350  0.0002   1.7224 
ver3d_local \t   00350  0.0002   1.6735 
ver3d_local \t   00350  0.0002   1.6816 
ver3d_local \t   00350  0.0002   1.5592 
ver3d_local \t   00350  0.0002   1.6000 
ver3d_local \t   00350  0.0002   1.7388 
ver3d_local \t   00350  0.0002   1.8939 
ver3d_local \t   00350  0.0002   1.6898 
ver3d_local \t   00350  0.0002   1.5673 
ver3d_local \t   00350  0.0002   1.6898 
ver3d_local \t   00350  0.0002   1.4367 
ver3d_local \t   00350  0.0002   1.4286 
ver3d_local \t   00350  0.0002   1.6163 
ver3d_local \t   00350  0.0002   1.6490 
ver3d_local \t   00350  0.0002   1.6408 
ver3d_local \t   00350  0.0002   1.6082 
ver3d_local \t   00350  0.0002   1.6082 
ver3d_local \t   00350  0.0002   1.7796 
ver3d_local \t   00350  0.0002   1.8612 
ver3d_local \t   00350  0.0002   1.7551 


ver4d_local \t   06000  0.2151   5.9759 
ver4d_local \t   06000  0.2015   5.5977 
ver4d_local \t   06000  0.2034   5.6495 
ver4d_local \t   06000  0.2814   7.8160 
ver4d_local \t   06000  0.2359   6.5536 
ver4d_local \t   06000  0.2018   5.6050 
ver4d_local \t   06000  0.2080   5.7782 
ver4d_local \t   06000  0.2103   5.8422 
ver4d_local \t   06000  0.2115   5.8764 
ver4d_local \t   06000  0.2117   5.8795 
ver4d_local \t   06000  0.2560   7.1116 
ver4d_local \t   06000  0.1974   5.4825 
ver4d_local \t   06000  0.1967   5.4634 
ver4d_local \t   06000  0.2054   5.7056 
ver4d_local \t   06000  0.2158   5.9932 
ver4d_local \t   06000  0.2118   5.8828 
ver4d_local \t   06000  0.2083   5.7874 
ver4d_local \t   06000  0.1993   5.5374 
ver4d_local \t   06000  0.2016   5.5993 
ver4d_local \t   06000  0.2128   5.9101 
ver4d_local \t   06000  0.2139   5.9417 
ver4d_local \t   06000  0.2086   5.7933 
ver4d_local \t   06000  0.1989   5.5252 
ver4d_local \t   06000  0.2059   5.7189 
ver4d_local \t   06000  0.2156   5.9898 
ver4d_local \t   06000  0.2188   6.0786 
ver4d_local \t   06000  0.2347   6.5202 
ver4d_local \t   06000  0.2784   7.7329 
ver4d_local \t   06000  0.2122   5.8941 
ver4d_local \t   06000  0.2126   5.9044 
ver4d_local \t   06000  0.2151   5.9760 
ver4d_local \t   06000  0.2388   6.6326 
ver4d_local \t   06000  0.2148   5.9666 
ver4d_local \t   06000  0.2906   8.0730 
ver4d_local \t   06000  0.2009   5.5816 
ver4d_local \t   06000  0.2185   6.0692 
ver4d_local \t   06000  0.3330   9.2500 
ver4d_local \t   06000  0.2490   6.9171 
ver4d_local \t   06000  0.2113   5.8697 
ver4d_local \t   06000  0.2142   5.9496 
ver4d_local \t   06000  0.2151   5.9737 
ver4d_local \t   06000  0.2184   6.0655 
ver4d_local \t   06000  0.2198   6.1066 
ver4d_local \t   06000  0.2213   6.1467 
ver4d_local \t   06000  0.2123   5.8977 
ver4d_local \t   06000  0.2182   6.0605 
